Titel;Englisch;Definition;Quelle;Gesamter Inhalt;Url
Präventivmedizin;(preventive medicine);Der Teil der Medizin, der sich mit allen Formen der (medizinischen) Prävention befasst.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.;"Der Teil der Medizin, der sich mit allen Formen der (medizinischen) Prävention befasst.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=325
Praxiserfahrungsberichte;(reports on practical experience);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=326
Proband;(proband);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=332
Prospektive Studien;(prospective study);Eine langfristige Beobachtung von Probanden bezüglich des Auftretens von Krankheiten oder Risikofaktoren (Langzeitstudie, Kohortenstudie). ;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Eine langfristige Beobachtung von Probanden bezüglich des Auftretens von Krankheiten oder Risikofaktoren (Langzeitstudie, Kohortenstudie). 
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=334
Protokoll;(protocol);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=335
Prüfarzt, ;(investigator);"Juristisch: Person, die in der Schweiz für die praktische Durchführung des klinischen Versuchs sowie für den Schutz der teilnehmenden Personen vor Ort verantwortlich ist; wenn eine Prüfperson für die Veranlassung eines klinischen Versuchs in der Schweiz die Verantwortung übernimmt, ist sie zugleich Sponsor.";Quelle: Art. 2 KlinV;"Juristisch:
Person, die in der Schweiz für die praktische Durchführung des klinischen Versuchs sowie für den Schutz der teilnehmenden Personen vor Ort verantwortlich ist; wenn eine Prüfperson für die Veranlassung eines klinischen Versuchs in der Schweiz die Verantwortung übernimmt, ist sie zugleich Sponsor.
Quelle: Art. 2 KlinV";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=223
Prüfarztbroschüre;(investigator`s brochure);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=224
QALY ;(QUALY);Abkürzung für Quality Adjusted Life Year. Ein Mass für die Bewertung medizinischer Massnahmen anhand ihrer Auswirkungen auf die Lebensqualität der Betroffenen.;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.;"Abkürzung für Quality Adjusted Life Year. Ein Mass für die Bewertung medizinischer Massnahmen anhand ihrer Auswirkungen auf die Lebensqualität der Betroffenen.
Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=342
Qualifizierte Prüfungszusammenfassung;(robust study summery);Detaillierte Zusammenfassung der Ziele, Methoden, Ergebnisse und Schlussfolgerungen eines umfassenden Prüfberichts mit Informationen, die für eine unabhängige Beurteilung der Prüfung ausreichen, sodass der umfassende Prüfbericht möglichst nicht mehr eingesehen werden muss.;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013. Originalquelle: Art. 2 ChemV;"Detaillierte Zusammenfassung der Ziele, Methoden, Ergebnisse und Schlussfolgerungen eines umfassenden Prüfberichts mit Informationen, die für eine unabhängige Beurteilung der Prüfung ausreichen, sodass der umfassende Prüfbericht möglichst nicht mehr eingesehen werden muss.
Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013. Originalquelle: Art. 2 ChemV";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=343
Qualitative Methoden;(qualitative methods);"Forschungsmethoden zur Beantwortung von Fragen, deren Resultate durch einen quantitativen Forschungsansatz nicht erreicht werden können. Qualitative Methoden sind durch offene Fragestellungen und Untersuchungsmethoden gekennzeichnet; im Vordergrund steht die Erhebung von nichtstandardisierten Daten und deren Interpretation.";Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103. ;"Forschungsmethoden zur Beantwortung von Fragen, deren Resultate durch einen quantitativen Forschungsansatz nicht erreicht werden können. Qualitative Methoden sind durch offene Fragestellungen und Untersuchungsmethoden gekennzeichnet; im Vordergrund steht die Erhebung von nichtstandardisierten Daten und deren Interpretation.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=344
Qualitative Studie;(qualitative study);Diese Studien sammeln narratives Material unter Verwendung von flexiblen Forschungsdesigns.;"Quelle: Polit, Denise F.; Beck, Cheryl Tatano; Hungler, Bernadette P. (2004): Lehrbuch Pflegeforschung. Methodik, Beurteilung und Anwendung. 1. Aufl. Bern: Huber (Pflegeforschung).";"Diese Studien sammeln narratives Material unter Verwendung von flexiblen Forschungsdesigns.
Quelle: Polit, Denise F.; Beck, Cheryl Tatano; Hungler, Bernadette P. (2004): Lehrbuch Pflegeforschung. Methodik, Beurteilung und Anwendung. 1. Aufl. Bern: Huber (Pflegeforschung).";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=345
Qualitätskontrollstudien;(quality control studies, assurance studies);Juristisch: Diese Studien dienen der Qualitätskontrolle. Es schliesst das Gewinnen von neuen Erkenntnisse nicht aus.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Diese Studien dienen der Qualitätskontrolle. Es schliesst das Gewinnen von neuen Erkenntnisse nicht aus.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=346
Qualitätssicherung;(quality assurance);Nach DIN EN ISO 8402, 1995-08, Ziffer 3.5 ist Qualitätssicherung ein Sammelbegriff für unterschiedliche Ansätze und Massnahmen zur Sicherstellung festgelegter Qualitätsanforderungen. Unter Qualitätssicherung ist jede geplante und systematische Tätigkeit zu verstehen, die innerhalb des QM-Systems verwirklicht wird und die dargelegt wird, um Vertrauen dahingehend zu schaffen, dass eine Einheit die Qualitätsforderung erfüllt wird.;;Nach DIN EN ISO 8402, 1995-08, Ziffer 3.5 ist Qualitätssicherung ein Sammelbegriff für unterschiedliche Ansätze und Massnahmen zur Sicherstellung festgelegter Qualitätsanforderungen. Unter Qualitätssicherung ist jede geplante und systematische Tätigkeit zu verstehen, die innerhalb des QM-Systems verwirklicht wird und die dargelegt wird, um Vertrauen dahingehend zu schaffen, dass eine Einheit die Qualitätsforderung erfüllt wird.;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=347
Quantitative Methoden;(quantitative methods);Alle Vorgehensweisen zur numerischen Darstellung empirischer Sachverhalte, aber auch zur Unterstützung der Schlussfolgerungen aus den empirischen Befunden mit Mitteln der Statistik. ;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103. ;"Alle Vorgehensweisen zur numerischen Darstellung empirischer Sachverhalte, aber auch zur Unterstützung der Schlussfolgerungen aus den empirischen Befunden mit Mitteln der Statistik. 
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=349
Quantitative Studie;(quantitative study);Diese Studien untersuchen Phänomene mit genauen Messungen und Quantifizierung mit kontrollierten Designs.;"Quelle: (S.467) Polit, Denise F.; Beck, Cheryl Tatano; Hungler, Bernadette P. (2004): Lehrbuch Pflegeforschung. Methodik, Beurteilung und Anwendung. 1. Aufl. Bern: Huber (Pflegeforschung).";"Diese Studien untersuchen Phänomene mit genauen Messungen und Quantifizierung mit kontrollierten Designs.
Quelle: (S.467) Polit, Denise F.; Beck, Cheryl Tatano; Hungler, Bernadette P. (2004): Lehrbuch Pflegeforschung. Methodik, Beurteilung und Anwendung. 1. Aufl. Bern: Huber (Pflegeforschung).";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=350
Querschnittstudie;(cross-sectional study);Eine epidemiologische Studie einer definierten Personengruppe zu einem bestimmten Zeitpunkt zur Bestimmung potenzieller Risikofaktoren einer bestimmten Krankheit.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Eine epidemiologische Studie einer definierten Personengruppe zu einem bestimmten Zeitpunkt zur Bestimmung potenzieller Risikofaktoren einer bestimmten Krankheit.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=351
Randomisierte klinische Studie RKS;(randomised controlled trial RCT);Ein sorgfältig geplantes, in Übereinstimmung mit ethischen Richtlinien durchgeführtes Experiment zur Überprüfung von Hypothesen mittels einer Zufallszuteilung der Studienteilnehmer (Probanden) in mindestens zwei Gruppen.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Ein sorgfältig geplantes, in Übereinstimmung mit ethischen Richtlinien durchgeführtes Experiment zur Überprüfung von Hypothesen mittels einer Zufallszuteilung der Studienteilnehmer (Probanden) in mindestens zwei Gruppen.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=353
Randomisierung ;(randomization);Zuordnung nach Zufallsprinzip zu Untersuchungs- oder Kontrollgruppe, in experimentellen oder kontrollierten Studien. ;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Zuordnung nach Zufallsprinzip zu Untersuchungs- oder Kontrollgruppe, in experimentellen oder kontrollierten Studien. 
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=354
Recht auf Information;(right to information);Juristisch: Die betroffene Person hat das Recht, über die ihre Gesundheit betreffenden Ergebnisse informiert zu werden. Die Weitergabe der Information hat in angemessener Form zu erfolgen. Die betroffene Person kann auf diese Information verzichten.Sie hat das Recht auf Auskunft über alle Personendaten, die über sie vorhanden sind.;Quelle: Art. 8 HFG;"Juristisch:
Die betroffene Person hat das Recht, über die ihre Gesundheit betreffenden Ergebnisse informiert zu werden. Die Weitergabe der Information hat in angemessener Form zu erfolgen. Die betroffene Person kann auf diese Information verzichten.Sie hat das Recht auf Auskunft über alle Personendaten, die über sie vorhanden sind.
Quelle: Art. 8 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=355
Rein wissenschaftliche Forschung;(pure scientific research);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=363
Relatives Risiko;(relative risk);Verhältnis der kumulativen Inzidenz exponierter Individuen gegenüber derjenigen nichtexponierter Individuen.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Verhältnis der kumulativen Inzidenz exponierter Individuen gegenüber derjenigen nichtexponierter Individuen.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=364
Reliabilität;(reliability);Mass für die Stabilität einer Messung bei Wiederholung unter denselben Bedingungen.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Mass für die Stabilität einer Messung bei Wiederholung unter denselben Bedingungen.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=365
Repräsentativität;(representativeness);Mass für die Übereinstimmung in den wichtigsten Merkmalen einer Stichprobe mit denen der Bevölkerung, aus welcher sie gezogen wurde.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Mass für die Übereinstimmung in den wichtigsten Merkmalen einer Stichprobe mit denen der Bevölkerung, aus welcher sie gezogen wurde.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=366
Retrospektive Datenanalyse;(retrospective data analysis);Nachträgliche Analyse von Informationen, die im Rahmen der medizinischen Behandlung oder sonst wie erhoben wurden. Kann keine Einwilligung des Patienten eingeholt werden und werden die Daten durch andere Personen als durch den behandelnden Arzt oder die behandelnde Ärztin analysiert, kommt Art. 321bis Strafgesetzbuch zur Anwendung. Bei der Eidgenössischen Expertenkommission für das Berufsgeheimnis in der medizinischen Forschung muss eine Bewilligung eingeholt werden.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: s. 102.;"Nachträgliche Analyse von Informationen, die im Rahmen der medizinischen Behandlung oder sonst wie erhoben wurden. Kann keine Einwilligung des Patienten eingeholt werden und werden die Daten durch andere Personen als durch den behandelnden Arzt oder die behandelnde Ärztin analysiert, kommt Art. 321bis Strafgesetzbuch zur Anwendung. Bei der Eidgenössischen Expertenkommission für das Berufsgeheimnis in der medizinischen Forschung muss eine Bewilligung eingeholt werden.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: s. 102.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=369
Retrospektive Studie;(retrosprective trial);Eine Studie, bei der retrospektiv (zurückschauend), häufig anhand von Krankenblätter, z.B. die Wirkung einer Behandlung oder das Auftreten einer Krankheit unter bestimmten Bedingungen untersucht wird. Fallkontrollstudien sind immer retrospektiv, Kohortstudien könnnen retrospektiv sein, und kontrollierte, randomisierte Studien sind immer prospektiv.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18. April 2013.;"Eine Studie, bei der retrospektiv (zurückschauend), häufig anhand von Krankenblätter, z.B. die Wirkung einer Behandlung oder das Auftreten einer Krankheit unter bestimmten Bedingungen untersucht wird. Fallkontrollstudien sind immer retrospektiv, Kohortstudien könnnen retrospektiv sein, und kontrollierte, randomisierte Studien sind immer prospektiv.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18. April 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=370
